activity_id,activity_name,wbs_path,level,level_name,ancestor_level_names,planned_start,planned_finish,discipline,area,equipment_tag,predecessors,successors,weight
B2041,Install 6-inch utility air header Area C,North Plant Utilities Upgrade>Piping Installation>Area C Pipework>Utility Systems>6-inch Utility Air Header,6,Activity,Project>Phase>Area>System>Work,2026-03-02,2026-03-13,Piping,Area C,,A1052,,9
B2042,Air test 6-inch utility air header,North Plant Utilities Upgrade>Piping Installation>Area C Pipework>Utility Systems>6-inch Utility Air Header,6,Activity,Project>Phase>Area>System>Work,2026-03-16,2026-03-18,Piping,Area C,,B2041,,3
B2051,Install 4-inch steam condensate line Area C,North Plant Utilities Upgrade>Piping Installation>Area C Pipework>Utility Systems>4-inch Steam Condensate,6,Activity,Project>Phase>Area>System>Work,2026-03-16,2026-03-27,Piping,Area C,,A1052,,10
B2052,Install tracing on steam condensate line,North Plant Utilities Upgrade>Piping Installation>Area C Pipework>Utility Systems>4-inch Steam Condensate,6,Activity,Project>Phase>Area>System>Work,2026-03-30,2026-04-03,Piping,Area C,,B2051,,6
B2061,Install 2-inch chemical feed line Area C,North Plant Utilities Upgrade>Piping Installation>Area C Pipework>Chemical Feed>2-inch Chemical Feed Line,6,Activity,Project>Phase>Area>System>Work,2026-04-06,2026-04-10,Piping,Area C,,A1052,,5
B2062,Hydrotest 2-inch chemical feed line,North Plant Utilities Upgrade>Piping Installation>Area C Pipework>Chemical Feed>2-inch Chemical Feed Line,6,Activity,Project>Phase>Area>System>Work,2026-04-13,2026-04-15,Piping,Area C,,B2061,,3
C3011,Install cable tray main rack run,North Plant Utilities Upgrade>Electrical Installation>Area B Electrical>Cable Tray and Cabling>Main Tray Run,6,Activity,Project>Phase>Area>System>Work,2026-03-02,2026-03-11,Electrical,Area B,,A1032,,8
C3012,Pull power cables main tray run,North Plant Utilities Upgrade>Electrical Installation>Area B Electrical>Cable Tray and Cabling>Main Tray Run,6,Activity,Project>Phase>Area>System>Work,2026-03-23,2026-04-03,Electrical,Area B,,C3011,,12
C3021,Pull instrument cables tray run,North Plant Utilities Upgrade>Electrical Installation>Area B Electrical>Cable Tray and Cabling>Instrument Cabling,6,Activity,Project>Phase>Area>System>Work,2026-04-06,2026-04-14,Electrical,Area B,,C3011,,9
C3031,Set MCC-1 switchgear in position,North Plant Utilities Upgrade>Electrical Installation>Area B Electrical>Switchgear and Panels>MCC-1 Installation,6,Activity,Project>Phase>Area>System>Work,2026-03-16,2026-03-17,Electrical,Area B,MCC-1,,,4
C3032,Terminate feeder cables at MCC-1,North Plant Utilities Upgrade>Electrical Installation>Area B Electrical>Switchgear and Panels>MCC-1 Installation,6,Activity,Project>Phase>Area>System>Work,2026-04-15,2026-04-22,Electrical,Area B,MCC-1,C3012;C3031,,10
C3061,Install Area B local power panels,North Plant Utilities Upgrade>Electrical Installation>Area B Electrical>Switchgear and Panels>Local Power Panels,6,Activity,Project>Phase>Area>System>Work,2026-04-01,2026-04-08,Electrical,Area B,LP-11,,,7
C3062,Terminate feeders at local power panels,North Plant Utilities Upgrade>Electrical Installation>Area B Electrical>Switchgear and Panels>Local Power Panels,6,Activity,Project>Phase>Area>System>Work,2026-04-09,2026-04-16,Electrical,Area B,LP-11,C3061;C3012,,6
C3041,Install Area C lighting fixtures,North Plant Utilities Upgrade>Electrical Installation>Area C Electrical>Lighting and Grounding>Area C Lighting,6,Activity,Project>Phase>Area>System>Work,2026-04-06,2026-04-14,Electrical,Area C,,A1052,,8
C3042,Terminate Area C lighting feeders,North Plant Utilities Upgrade>Electrical Installation>Area C Electrical>Lighting and Grounding>Area C Lighting,6,Activity,Project>Phase>Area>System>Work,2026-04-15,2026-04-21,Electrical,Area C,,C3041,,6
C3051,Install Area C grounding grid,North Plant Utilities Upgrade>Electrical Installation>Area C Electrical>Lighting and Grounding>Area C Grounding,6,Activity,Project>Phase>Area>System>Work,2026-03-09,2026-03-20,Electrical,Area C,,A1052,,9
C3052,Test Area C grounding grid,North Plant Utilities Upgrade>Electrical Installation>Area C Electrical>Lighting and Grounding>Area C Grounding,6,Activity,Project>Phase>Area>System>Work,2026-03-23,2026-03-24,Electrical,Area C,,C3051,,2
